,date,close,entry,sl,sl_fact,tp
64010,2021-04-16 20:30:00,2455.57,True,2382.3993116342945,1.3,2550.6918948754173
64106,2021-04-18 20:30:00,2223.7,True,2145.310663278535,1.3,2325.606137737904
64177,2021-04-20 10:30:00,2181.84,True,2090.054922408191,1.3,2301.160600869352
64261,2021-04-22 04:30:00,2446.92,True,2324.7547283550616,1.3,2605.73485313842
64331,2021-04-23 15:30:00,2333.84,True,2163.6979546367525,1.3,2555.024658972222
64389,2021-04-24 20:30:00,2293.48,True,2203.9446355494824,1.3,2409.875973785673
64408,2021-04-25 10:00:00,2278.93,True,2166.031091848509,1.3,2425.698580596938
64480,2021-04-26 22:00:00,2516.89,True,2411.511828826788,1.3,2653.8816225251753
64554,2021-04-28 11:00:00,2683.46,True,2575.0577845145363,1.3,2824.382880131103
64641,2021-04-30 06:30:00,2787.82,True,2736.3456214508783,1.3,2854.7366921138587
64679,2021-05-01 01:30:00,2797.0,True,2726.2079255287467,1.3,2889.0296968126295
64747,2021-05-02 11:30:00,2936.25,True,2857.1896197755505,1.3,3039.028494291784
64805,2021-05-03 16:30:00,3254.83,True,3104.9358754017526,1.3,3449.6923619777217
64841,2021-05-04 10:30:00,3435.88,True,3266.1654656784,1.3,3656.5088946180804
64887,2021-05-05 09:30:00,3377.59,True,3237.3825954346603,1.3,3559.859625934942
64939,2021-05-06 11:30:00,3523.15,True,3414.095783668126,1.3,3664.9204812314365
64994,2021-05-07 15:00:00,3519.55,True,3428.470004704354,1.3,3637.9539938843404
65014,2021-05-08 01:00:00,3537.99,True,3444.7801133457156,1.3,3659.162852650569
65092,2021-05-09 16:00:00,3923.75,True,3774.5984270637855,1.3,4117.6470448170785
65176,2021-05-11 10:00:00,4071.99,True,3879.0349203584806,1.3,4322.831603533975
65249,2021-05-12 22:30:00,4233.47,True,3848.534011278846,1.3,4733.886785337501
65314,2021-05-14 07:00:00,3878.75,True,3689.729714399032,1.3,4124.476371281258
65400,2021-05-16 02:00:00,3834.24,True,3644.486903714821,1.3,4080.9190251707323
65458,2021-05-17 07:00:00,3482.0,True,3199.9703048154643,1.3,3848.6386037398966
65484,2021-05-17 20:00:00,3413.82,True,3193.7652298674293,1.3,3699.8912011723423
65501,2021-05-18 04:30:00,3509.17,True,3309.4885552974692,1.3,3768.7558781132902
65573,2021-05-19 16:30:00,2852.6,True,2205.8963434599823,1.3,3693.314753502023
65602,2021-05-20 07:00:00,2759.34,True,2415.7747175358295,1.3,3205.974867203422
65705,2021-05-22 10:30:00,2463.32,True,2202.915910602073,1.3,2801.8453162173055
