# openTime,open,high,low,close,volume,closeTime,qouteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
1603263600000, 12232.77000000, 12247.54000000, 12122.63000000, 12198.15000000, 3645.67514700, 1603267199999, 44447319.73328377, 46841, 1775.48900000, 21644480.19064716, 0
1603267200000, 12198.14000000, 12205.00000000, 12137.32000000, 12149.06000000, 2535.32777300, 1603270799999, 30858056.89737087, 38319, 1290.83320100, 15712694.50865911, 0
1603270800000, 12149.05000000, 12201.45000000, 12129.72000000, 12195.01000000, 2242.89087300, 1603274399999, 27323045.07881512, 33144, 1043.59182500, 12712848.91304239, 0
1603274400000, 12195.00000000, 12255.00000000, 12193.74000000, 12216.81000000, 2467.29717000, 1603277999999, 30156404.32617101, 32450, 1427.32094400, 17441785.08798332, 0
1603278000000, 12216.81000000, 12379.00000000, 12180.00000000, 12335.00000000, 4354.71264700, 1603281599999, 53479204.22537575, 53307, 2425.27176200, 29795429.28412635, 0
1603281600000, 12334.36000000, 12438.68000000, 12275.58000000, 12410.05000000, 5913.03464300, 1603285199999, 73066898.79578440, 72743, 2854.74027500, 35286111.57836427, 0
1603285200000, 12410.04000000, 12488.00000000, 12357.56000000, 12475.83000000, 5385.80011600, 1603288799999, 66892971.94018437, 68786, 2550.61440400, 31688049.78715871, 0
1603288800000, 12476.04000000, 12840.00000000, 12423.73000000, 12730.01000000, 11257.29074300, 1603292399999, 142477230.97952515, 137135, 6147.28905600, 77760610.28585200, 0
1603292400000, 12730.01000000, 12743.26000000, 12582.10000000, 12735.00000000, 5123.44185400, 1603295999999, 65028807.13388942, 73648, 2591.66506600, 32897148.81477990, 0
1603296000000, 12735.00000000, 12899.99000000, 12717.01000000, 12824.35000000, 8595.99498100, 1603299599999, 110201161.34165246, 84338, 4084.02528400, 52358576.50163875, 0
1603299600000, 12824.34000000, 12856.38000000, 12706.31000000, 12760.17000000, 4356.98858600, 1603303199999, 55761642.55392880, 51920, 2114.90343700, 27063427.89017371, 0
1603303200000, 12760.17000000, 12801.65000000, 12680.36000000, 12761.61000000, 3069.97663600, 1603306799999, 39146454.67463981, 36173, 1323.12029900, 16873557.86331863, 0
1603306800000, 12761.61000000, 12794.07000000, 12617.48000000, 12680.75000000, 3675.44733300, 1603310399999, 46747104.28270648, 44684, 1650.80772700, 20997866.51959993, 0
1603310400000, 12680.74000000, 12839.94000000, 12669.98000000, 12835.49000000, 2572.86077900, 1603313999999, 32787681.91507771, 34901, 1375.31265900, 17526849.79269410, 0
1603314000000, 12835.49000000, 12975.00000000, 12761.19000000, 12910.57000000, 4415.93518100, 1603317599999, 56884549.00934912, 97954, 2416.29410800, 31135426.12897536, 0
1603317600000, 12910.57000000, 13200.00000000, 12890.50000000, 13198.50000000, 8431.71422500, 1603321199999, 110049926.72295859, 101163, 4615.75975600, 60248375.60554611, 0
1603321200000, 13198.51000000, 13217.68000000, 12640.27000000, 12780.96000000, 10992.81350200, 1603324799999, 141584677.63913160, 136225, 5613.22004700, 72329828.27884332, 0
1603324800000, 12780.75000000, 12940.00000000, 12763.22000000, 12905.01000000, 4020.00921500, 1603328399999, 51764888.44316020, 52840, 1750.84988900, 22540598.96057664, 0
1603328400000, 12905.01000000, 12906.49000000, 12846.78000000, 12847.90000000, 1986.23916400, 1603331999999, 25577201.37560717, 32129, 824.53859100, 10618396.20456758, 0
1603332000000, 12847.91000000, 12863.16000000, 12684.30000000, 12793.59000000, 2364.38705500, 1603335599999, 30203769.09277077, 36198, 1011.68664200, 12925527.10326409, 0
1603335600000, 12793.59000000, 12809.19000000, 12714.28000000, 12718.26000000, 1537.49811800, 1603339199999, 19630702.96583726, 24799, 674.62621000, 8614722.50576459, 0
1603339200000, 12718.26000000, 12800.00000000, 12678.08000000, 12752.50000000, 2159.60074900, 1603342799999, 27507203.31911073, 36887, 1100.93180700, 14025350.06743881, 0
1603342800000, 12752.49000000, 12792.99000000, 12700.10000000, 12762.07000000, 1947.67969400, 1603346399999, 24843506.28842168, 28601, 881.83688000, 11250410.38649714, 0
1603346400000, 12762.07000000, 12823.67000000, 12755.14000000, 12810.82000000, 1885.53378300, 1603349999999, 24125930.84547840, 29225, 922.13731000, 11799520.33160152, 0
